Gemeente;11-Mar;12-Mar;13-Mar;14-Mar;15-Mar;16-Mar;17-Mar;18-Mar;19-Mar;20-Mar;21-Mar;22-Mar;23-Mar;24-Mar;25-Mar;26-Mar;27-Mar
Nijkerk;0;0;0;0;0;1;2;2;2;;4;;7;8;8;12;15
Nijmegen;4;6;8;9;12;17;31;41;48;;60;;79;93;108;122;132
Nissewaard;0;1;1;1;1;1;3;4;7;;12;;15;17;19;23;28
Noardeast-Frysl̢n;0;0;0;0;0;0;0;0;1;;1;;2;3;3;3;4
Noord-Beveland;0;0;0;0;0;0;0;0;0;;0;;0;1;2;2;2
Noordenveld;0;0;0;0;0;1;1;1;1;;1;;1;1;1;3;3
Noordoostpolder;0;0;0;2;2;2;2;2;2;;3;;3;4;5;8;10
Noordwijk;2;2;2;2;2;2;2;2;3;;3;;6;6;7;8;10
Nuenen, Gerwen en Nederwetten;1;1;1;1;1;1;1;1;1;;1;;4;4;8;10;11
Nunspeet;0;0;1;1;1;2;2;3;3;;9;;17;22;29;31;39
Oegstgeest;2;2;2;4;4;4;4;4;5;;7;;7;8;9;9;12
Oirschot;0;0;0;0;0;1;1;1;1;;1;;3;4;6;8;10
Oisterwijk;4;5;6;6;6;9;10;10;10;;15;;16;16;18;21;23
Oldambt;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0
Oldebroek;0;1;1;1;1;2;2;5;5;;6;;7;8;12;16;19
Oldenzaal;0;0;0;1;1;1;1;2;3;;6;;6;8;13;15;17
Olst-Wijhe;0;0;0;0;0;0;0;0;0;;2;;2;4;6;6;6
Ommen;0;0;0;1;1;1;1;2;2;;4;;6;6;7;7;7
Oost Gelre;0;0;0;0;0;0;0;0;0;;2;;2;6;6;6;7
Oosterhout;0;0;3;4;5;6;8;9;9;;13;;22;23;26;29;31
Ooststellingwerf;0;0;0;0;0;0;0;0;0;;0;;0;0;1;1;1
Oostzaan;0;0;0;0;0;0;1;2;2;;3;;5;5;6;7;7
Opmeer;0;0;0;0;0;0;0;0;0;;0;;0;0;0;2;2
Opsterland;2;2;2;2;2;2;2;2;2;;2;;3;3;4;5;6
Oss;2;3;3;4;5;11;14;20;26;;44;;65;73;81;100;128
Oude IJsselstreek;0;0;0;0;0;1;2;2;2;;4;;4;4;4;5;5
Ouder-Amstel;0;0;0;0;0;0;2;3;3;;4;;5;7;7;7;7
Oudewater;0;0;0;0;1;1;1;1;2;;3;;4;7;10;12;18
Overbetuwe;0;0;0;4;6;8;9;9;11;;20;;30;33;38;44;51
Papendrecht;0;0;0;0;0;0;0;0;1;;2;;5;5;6;6;6
Peel en Maas;3;4;8;10;14;19;31;36;41;;63;;69;79;88;96;107
Pekela;0;1;1;1;1;1;1;1;1;;2;;2;2;2;2;2
Pijnacker-Nootdorp;5;5;6;6;7;8;10;11;11;;11;;12;14;16;20;23
Purmerend;1;1;2;2;2;2;2;4;7;;14;;22;23;32;39;48
Putten;0;0;0;0;0;2;2;2;2;;3;;3;3;5;6;6
Raalte;0;1;1;1;1;2;3;3;3;;3;;5;6;10;12;13
Reimerswaal;0;1;1;1;1;2;2;3;4;;5;;5;6;7;7;7
Renkum;7;7;7;7;8;8;8;8;8;;9;;10;11;12;14;17
Renswoude;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;1
Reusel-De Mierden;0;0;0;0;0;0;0;0;0;;0;;1;1;1;4;4
Rheden;1;1;1;1;1;1;2;3;4;;7;;12;15;18;21;27
Rhenen;0;0;0;0;0;0;0;0;0;;0;;1;1;1;2;5
Ridderkerk;1;1;1;1;1;1;1;1;1;;4;;5;7;9;13;19
Rijssen-Holten;0;0;0;0;0;0;0;0;0;;3;;4;4;9;13;13
Rijswijk;0;0;0;0;0;1;2;3;3;;4;;7;8;10;11;14
Roerdalen;0;0;0;0;0;0;0;1;1;;4;;7;10;10;11;13
Roermond;1;1;1;2;2;2;4;6;13;;18;;23;26;28;29;31
Roosendaal;1;1;2;2;5;6;6;6;7;;8;;16;18;20;24;25
Rotterdam;15;15;20;24;25;30;41;58;81;;120;;149;163;186;204;249
Rozendaal;0;0;0;0;1;1;1;2;2;;2;;2;2;2;2;2
Rucphen;0;0;0;0;1;1;1;1;2;;6;;6;6;6;6;10
S̼dwest-Frysl̢n;0;0;0;0;0;0;4;5;6;;7;;7;10;11;12;124
Schagen;1;1;2;3;4;4;0;0;0;;0;;2;2;2;3;13
Scherpenzeel;0;0;0;0;0;0;1;1;2;;6;;8;10;14;16;4
Schiedam;0;0;0;0;1;1;0;0;0;;0;;0;0;0;0;19
Schiermonnikoog;0;0;0;0;0;0;2;2;2;;3;;3;3;6;8;0
Schouwen-Duiveland;2;2;2;2;2;2;4;5;5;;5;;5;7;8;10;9
Simpelveld;2;2;2;2;3;3;4;5;8;;12;;13;13;13;14;10
Sint Anthonis;0;0;0;2;2;3;8;10;10;;12;;14;17;18;22;18
Sint-Michielsgestel;5;5;5;6;6;8;42;51;51;;58;;61;84;86;94;28
Sittard-Geleen;20;20;23;35;37;38;1;1;1;;3;;3;4;5;7;98
Sliedrecht;0;0;0;0;0;0;2;2;2;;3;;4;5;5;6;6
Sluis;0;0;0;0;1;2;3;3;3;;3;;3;3;4;5;6
Smallingerland;1;1;1;2;3;3;11;12;13;;15;;16;20;21;23;5
Soest;8;8;8;8;8;10;2;3;3;;5;;7;7;10;15;28
Someren;0;0;0;1;1;1;4;4;5;;8;;10;13;15;19;19
Son en Breugel;1;1;2;2;2;4;0;0;0;;0;;0;0;0;1;20
Stadskanaal;0;0;0;0;0;0;1;1;2;;3;;4;4;4;4;1
Staphorst;0;0;0;1;1;1;1;1;3;;5;;8;9;13;17;5
Stede Broec;0;0;0;0;0;1;2;2;4;;5;;8;9;11;11;18
Steenbergen;0;0;0;0;1;2;1;1;1;;3;;4;5;6;8;14
Steenwijkerland;0;0;0;0;0;0;3;4;4;;5;;9;24;24;28;8
Stein;1;1;1;3;3;3;8;9;10;;10;;13;16;22;27;29
Stichtse Vecht;5;5;6;6;7;7;1;2;2;;4;;5;6;8;12;30
Terneuzen;0;0;0;1;1;1;2;3;4;;5;;6;6;10;14;16
Terschelling;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0
Texel;0;0;0;0;0;0;0;0;2;;3;;3;3;3;3;3
Teylingen;0;0;0;0;0;1;2;2;2;;5;;7;7;8;10;11
Tholen;0;0;0;0;1;1;1;2;2;;7;;8;11;13;14;20
Tiel;1;2;2;2;3;4;4;4;4;;4;;6;8;14;20;23
Tilburg;42;50;67;68;68;84;88;95;119;;154;;193;211;224;230;254
Tubbergen;1;1;1;1;1;1;1;1;3;;3;;4;4;4;9;11
Twenterand;0;0;0;0;0;0;0;0;0;;1;;2;3;3;3;5
Tynaarlo;0;0;0;0;0;0;1;3;4;;7;;8;10;13;15;16
Tytsjerksteradiel;0;0;0;0;0;1;1;1;1;;1;;1;1;2;2;3
Uden;18;21;25;28;33;43;49;53;60;;76;;84;92;94;107;123
Uitgeest;0;0;0;0;0;0;0;0;0;;2;;4;4;4;4;7
Uithoorn;0;0;0;0;0;0;0;1;2;;2;;2;4;5;7;11
Urk;0;0;0;0;0;0;0;1;4;;6;;7;7;7;8;9
Utrecht;18;25;26;30;38;48;60;69;83;;121;;145;160;191;215;243
Utrechtse Heuvelrug;2;2;2;2;2;3;5;6;8;;8;;14;14;15;17;22
Vaals;0;0;0;0;0;0;0;0;0;;0;;0;3;4;6;6
Valkenburg aan de Geul;0;0;0;0;0;1;2;2;2;;4;;4;8;9;10;11
Valkenswaard;0;0;0;0;0;0;0;1;1;;4;;5;8;9;17;20
Veendam;0;0;0;0;0;0;0;0;0;;0;;0;0;1;1;1
Veenendaal;0;1;1;1;1;1;1;1;2;;2;;6;6;7;7;13
Veere;1;1;1;1;1;1;1;1;1;;5;;6;6;6;7;8
Veldhoven;1;1;1;1;1;1;1;1;2;;9;;11;14;18;22;22
Velsen;0;1;1;1;1;4;4;4;4;;8;;11;15;15;23;25
Venlo;1;2;2;3;4;6;8;12;21;;33;;35;40;47;54;67
Venray;0;0;0;0;0;0;0;1;3;;8;;10;13;17;20;21
Vijfheerenlanden;1;1;2;2;2;3;4;4;7;;9;;12;18;21;24;24
Vlaardingen;0;1;1;1;1;1;2;2;4;;12;;15;18;22;24;28
Vlieland;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0
Vlissingen;0;2;2;2;2;3;4;4;5;;6;;8;8;8;8;8
Voerendaal;0;0;0;0;0;0;1;3;3;;4;;4;5;6;7;7
Voorschoten;0;0;0;0;0;0;0;1;1;;2;;3;3;5;6;6
Voorst;1;1;1;1;1;1;1;1;1;;2;;2;3;6;10;13
Vught;1;2;2;2;2;3;6;7;8;;11;;17;19;22;25;29
Waadhoeke;0;0;0;0;0;0;0;0;0;;0;;0;0;0;2;3
Waalre;1;1;1;1;1;1;1;2;2;;2;;2;3;2;6;6
Waalwijk;6;6;9;8;8;10;11;12;13;;16;;24;29;34;39;46
Waddinxveen;1;1;1;1;1;1;1;1;3;;4;;4;4;5;6;7
Wageningen;0;0;0;0;0;0;1;1;1;;3;;3;3;3;4;5
Wassenaar;0;0;1;2;2;3;3;3;4;;5;;5;5;5;6;6
Waterland;1;1;1;1;2;3;3;4;7;;8;;9;10;11;11;11
Weert;0;0;0;0;0;0;0;0;0;;7;;12;17;24;28;27
Weesp;0;0;0;0;0;0;0;0;0;;1;;1;2;6;7;8
West Betuwe;2;2;3;3;3;3;6;6;8;;12;;15;17;19;22;24
West Maas en Waal;1;2;2;2;3;3;3;3;3;;4;;7;8;11;13;13
Westerkwartier;0;0;0;0;1;1;1;1;3;;3;;8;8;9;12;15
Westerveld;0;0;0;0;0;0;0;0;0;;1;;2;2;2;2;3
Westervoort;0;0;0;0;0;0;0;0;0;;1;;2;2;2;2;2
Westerwolde;0;0;0;0;0;0;0;0;0;;0;;0;0;3;3;3
Westland;0;0;0;0;1;1;3;6;7;;11;;21;25;28;30;38
Weststellingwerf;0;0;0;0;0;0;0;0;0;;1;;1;1;1;2;2
Westvoorne;1;1;1;2;3;3;3;3;3;;3;;7;8;8;8;9
Wierden;0;0;0;0;0;0;0;0;0;;0;;0;0;1;2;4
Wijchen;1;2;3;2;4;5;6;8;8;;17;;21;23;24;30;30
Wijdemeren;0;0;0;0;0;0;0;1;1;;1;;1;1;3;4;4
Wijk bij Duurstede;1;2;2;3;3;3;4;4;4;;6;;6;6;6;7;7
Winterswijk;0;0;0;0;0;0;0;0;0;;1;;2;2;2;2;3
Woensdrecht;0;0;0;0;0;0;0;0;0;;0;;3;4;5;5;5
Woerden;2;2;2;2;2;2;3;4;4;;6;;14;19;22;25;25
Wormerland;0;0;0;0;0;0;0;0;1;;1;;2;2;3;5;6
Woudenberg;1;1;1;1;1;1;1;2;2;;3;;4;4;6;7;6
Zaanstad;2;2;2;2;2;2;2;2;4;;9;;19;20;29;31;46
Zaltbommel;1;1;1;1;1;1;3;3;3;;5;;7;7;7;7;9
Zandvoort;0;0;0;1;1;1;1;1;1;;2;;3;6;6;6;6
Zeewolde;1;1;1;1;2;2;2;3;3;;4;;4;4;5;6;7
Zeist;3;4;4;4;6;8;12;12;12;;17;;19;20;25;28;34
Zevenaar;0;0;0;0;0;0;0;2;3;;6;;9;10;10;10;12
Zoetermeer;0;0;0;0;0;0;0;1;1;;4;;7;8;13;14;17
Zoeterwoude;0;0;0;0;0;0;0;0;0;;0;;0;1;1;1;2
Zuidplas;0;0;0;0;0;0;0;0;0;;1;;3;3;6;10;11
Zundert;2;2;3;3;3;3;4;6;6;;7;;9;11;14;15;17
Zutphen;0;0;0;0;0;0;1;1;1;;4;;6;6;8;8;10
